"Altezza" "Sesso" "Sonno" "Studio" "Lavoro" "Bevanda" "Caffè"
"1" 172 "F" 1.5 60 30 "acqua" 3
"2" 169 "F" 5.5 0 20 "vino" 0
"3" 166 "F" 2.5 48 0 "birra" 4
"4" 166 "F" 6 10 0 "acqua" 4
"5" 175 "M" 4 15 17.5 "vino" 2
"6" 166 "F" 5.5 35 20 "acqua" 0
"7" 169 "F" 4.5 25 0 "vino" 3
"8" 171 "F" 3.5 30 25 "acqua" 0
"9" 170 "M" 6.5 12 0 "birra" 3
"10" 177 "M" 4 13 15 "birra" 0
"11" 168 "F" 3 38 0 "acqua" 0
"12" 168.5 "F" 3 110 27 "birra" 1
"13" 170 "F" 3.5 15 0 "acqua" 1
"14" 171 "M" 6.5 13 0 "vino" 0
"15" 176 "M" 4.5 12 12.5 "acqua" 0
"16" 169 "F" 2.5 30 16 "acqua" 2
"17" 176 "M" 5.5 0 12 "acqua" 3
"18" 166 "F" 5.5 20 5 "acqua" 2
"19" 161 "F" 5 40 12.5 "acqua" 3
"20" 176 "M" 6 12 20 "birra" 2
"21" 168 "F" 4 50 12.5 "vino" 0
"22" 170 "F" 3.5 10 22 "acqua" 3
"23" 169 "F" 5.5 65 15 "vino" 2
"24" 164 "F" 4.5 25 0 "acqua" 2
"25" 166.5 "F" 5.5 87.6 0 "acqua" 0
"26" 175 "M" 7 15 10 "acqua" 2
"27" 169 "F" 5.5 10 18 "acqua" 1
"28" 168 "F" 6 42 11.5 "vino" 2
"29" 176 "M" 5 11 0 "acqua" 0
"30" 178 "M" 4.5 5 25 "acqua" 0
"31" 171 "F" 5 30 12 "acqua" 2
"32" 171 "F" 4.5 30 0 "vino" 2
"33" 168 "F" 6 95 20 "birra" 1
"34" 172 "F" 5.5 60 12.5 "vino" 0
"35" 181 "F" 3.5 15 8 "acqua" 3
"36" 166 "F" 6 17 15 "acqua" 0
"37" 168 "F" 3.5 21 10 "acqua" 0
"38" 167 "F" 4.5 50 10 "vino" 0
"39" 170 "F" 3 25 0 "birra" 3
"40" 173 "F" 3 25 0 "acqua" 0
"41" 168 "F" 5 180 6 "acqua" 3
"42" 167 "F" 6.5 28 0 "acqua" 2
"43" 177 "M" 5 0 0 "vino" 2
"44" 171 "F" 6 25 10 "vino" 0
"45" 167 "F" 3.5 40 0 "acqua" 0
"46" 172 "F" 5.5 0 0 "birra" 0
"47" 169.5 "F" 3.5 45 8 "vino" 1
"48" 171 "F" 6.5 17 15 "vino" 3
"49" 170 "F" 6 0 15 "acqua" 2
"50" 170 "F" 4.5 50 20 "birra" 0
"51" 172 "F" 8 30 0 "vino" 0
"52" 169 "F" 4.5 15 12 "vino" 1
"53" 172 "F" 4 55 10 "acqua" 0
"54" 169 "F" 3 60 0 "acqua" 0
"55" 171 "F" 4.5 27 10 "acqua" 3
"56" 172 "M" 7 25 0 "acqua" 0
"57" 170 "F" 4 35 12.5 "acqua" 0
"58" 177 "M" 4.5 11 15 "acqua" 2
"59" 178 "M" 3 10 0 "birra" 2
"60" 176 "M" 5.5 11 15 "vino" 0
"61" 178 "M" 5.5 0 4 "vino" 2
"62" 177 "M" 4 20 8 "vino" 1
"63" 173 "M" 6 0 0 "acqua" 4
"64" 169 "F" 6.5 14 16 "acqua" 0
"65" 173 "F" 7 15 0 "acqua" 3
"66" 167 "F" 5.5 40 0 "vino" 0
"67" 171 "M" 3.5 15 0 "acqua" 2
"68" 181 "M" 4.5 0 17.5 "vino" 1
"69" 160 "F" 7 115 0 "vino" 3
"70" 176 "M" 6.5 7 25 "vino" 1
"71" 173 "F" 3.5 30 16 "vino" 3
"72" 173 "M" 7.5 13 10 "birra" 3
"73" 167 "F" 5.5 25 22.5 "acqua" 2
"74" 178 "M" 8.5 13 20 "vino" 2
"75" 167 "F" 5.5 50 9 "acqua" 1
"76" 166 "F" 7.5 30 15 "acqua" 2
"77" 175 "M" 6.5 14.99 30 "birra" 1
"78" 173 "F" 4.5 57 0 "vino" 0
"79" 165 "F" 5.5 6.5 10 "acqua" 0
"80" 173 "F" 5.5 65 30 "acqua" 1
"81" 176 "M" 7.5 0 30 "vino" 2
"82" 161 "F" 5.5 10 10 "acqua" 0
"83" 172 "F" 4.5 18.75 15 "acqua" 1
"84" 174 "F" 3 12 10 "acqua" 0
"85" 177 "F" 6 12 12 "acqua" 3
"86" 181 "F" 4 25 10 "vino" 0
"87" 181 "M" 6 15 0 "acqua" 0
"88" 175 "M" 6 15 0 "vino" 0
"89" 169 "F" 4 0 10 "vino" 1
"90" 177 "F" 4.5 35 0 "vino" 4
"91" 171 "F" 5.5 30 0 "acqua" 3
"92" 168 "F" 5 100 20 "acqua" 4
"93" 168 "F" 4 10 10 "vino" 0
"94" 169 "F" 5.5 60 20 "acqua" 3
"95" 177 "M" 7 13 15 "vino" 1
"96" 174 "F" 4 0 0 "birra" 3
"97" 159 "F" 5 90 0 "birra" 0
"98" 169 "F" 5.5 30 0 "acqua" 3
"99" 167 "F" 9 0 10 "acqua" 0
"100" 175 "M" 4.5 0 0 "acqua" 0
"101" 169 "F" 5 12 15 "acqua" 0
"102" 180 "M" 6.5 0 20 "acqua" 3
"103" 169 "F" 3 40 0 "acqua" 0
"104" 177 "M" 5 11 7 "birra" 2
"105" 169.5 "F" 5 145 10 "vino" 0
"106" 166 "F" 4.5 0 10 "vino" 0
"107" 174 "F" 4.5 145 0 "vino" 2
"108" 175 "M" 6 14 0 "vino" 1
"109" 179 "M" 5.5 15 20 "acqua" 4
"110" 169 "F" 4 40 0 "acqua" 0
"111" 167 "F" 4.5 50 17.5 "acqua" 0
"112" 175 "M" 4.5 12 0 "acqua" 4
"113" 173 "F" 5 0 20 "acqua" 2
