"ETA" "PESO" "ALTEZZA" "SESSO"
47 76 170 2
81 75 170 2
75 70 168 1
75 72 178 2
49 130 182 2
64 85 162 1
90 78 165 2
63 80 175 2
81 70 165 2
80 75 178 2
81 63 165 2
81 63 165 2
71 95 180 2
74 83 180 2
85 68 160 2
75 74 174 2
75 80 180 2
61 90 170 2
49 54 160 1
75 70 160 2
83 65 165 2
54 80 170 2
79 59 160 1
44 70 190 2
77 78 168 1
80 54 165 2
77 78 172 2
45 90 177 2
60 56 164 1
67 80 170 2
68 72 172 2
78 66 160 1
70 73 175 2
61 85 173 2
91 75 160 1
91 75 165 1
74 75 170 2
66 65 170 2
74 100 170 2
58 100 178 2
51 85 170 2
75 70 165 1
48 83 170 2
64 80 167 2
64 80 175 2
75 86 175 2
80 70 175 2
45 67 168 2
79 66 170 2
76 90 170 2
90 83 170 2
65 64 168 2
79 79 165 1
72 60 170 2
50 74 178 2
89 45 165 1
62 74 170 2
65 70 160 2
79 54 150 1
67 60 166 2
70 68 175 2
72 100 175 2
54 79 175 2
72 81 166 2
87 60 160 1
55 91 185 2
61 85 175 2
69 60 173 2
66 93 163 1
55 70 165 2
57 70 170 2
63 85 175 2
45 90 175 2
82 75 160 2
62 90 160 2
52 70 167 2
61 95 175 2
86 65 160 2
62 75 155 1
60 85 185 2
59 95 185 2
64 59 165 1
85 85 160 1
76 84 163 1
83 100 180 2
86 72 165 1
66 70 171 2
63 74 162 2
78 70 164 1
86 45 150 1
50 68 158 1
62 84 170 2
74 72 175 2
84 70 175 2
49 64 158 1
68 60 165 1
64 75 180 2
41 80 175 2
46 73 173 1
72 110 175 2
81 70 170 2
71 60 158 2
75 100 165 2
52 82 170 1
69 58 160 1
61 80 173 2
66 78 174 2
81 50 160 1
64 72 165 1
73 53 158 1
51 56 170 2
80 73 165 2
70 63 160 2
85 80 160 1
43 87 175 2
74 49 166 1
63 78 165 2
67 82 160 1
70 78 166 2
59 71 169 2
70 58 160 1
74 50 156 1
82 70 170 2
82 55 158 1
60 70 170 2
69 65 160 2
50 86 182 2
68 75 160 1
72 68 169 2
73 80 173 2
69 76 170 2
51 80 182 2
53 90 155 1
80 80 160 1
52 77 167 2
88 73 160 1
76 65 160 1
70 65 180 2
76 76 160 1
61 80 170 2
68 71 172 2
74 84 163 2
84 47 158 1
75 62 156 1
67 93 174 2
56 78 180 2
82 67 160 2
61 54 164 2
71 80 170 2
58 78 170 1
78 65 170 2
63 110 180 2
81 73 160 1
66 75 165 2
66 105 173 2
76 72 170 2
82 85 178 2
68 71 175 2
46 75 174 2
76 71 169 2
71 75 163 2
60 110 175 2
45 63 160 1
64 62 154 2
66 59 168 1
84 46 160 1
72 62 168 2
83 65 160 1
60 82 173 2
39 90 177 2
59 70 172 1
47 86 164 2
54 81 173 2
72 80 175 2
80 89 170 2
64 100 170 2
58 71 170 2
50 85 171 2
34 74 173 2
73 69 160 1
72 75 169 2
72 70 168 2
50 75 172 2
70 74 170 2
47 58 176 1
71 64 166 2
57 74 176 2
74 65 162 1
79 90 180 2
56 84 178 2
72 70 168 1
71 108 178 2
55 70 168 2
58 85 165 2
49 72 165 2
53 86 176 2
66 85 176 2
71 85 160 1
71 58 168 2
90 88 174 1
63 101 175 2
61 100 182 2
55 104 180 2
70 68 163 2
93 68 175 2
61 102 175 2
50 86 174 2
67 72 163 2
64 60 165 2
73 60 160 1
68 70 170 2
73 79 170 2
70 120 183 2
49 80 179 2
72 65 156 1
60 78 162 2
81 70 162 1
81 70 160 1
36 67 170 2
83 92 186 2
60 75 160 2
78 50 165 2
54 73 184 2
51 58 165 1
54 90 170 2
75 78 165 2
76 20 150 2
70 75 173 2
94 65 150 1
83 70 160 1
36 60 162 1
65 74 170 2
48 85 183 2
56 78 170 2
54 85 175 2
55 92 178 2
80 70 160 2
56 88 175 2
71 60 170 2
71 90 171 2
71 59 170 2
58 68 169 2
66 85 180 2
77 50 150 2
68 85 175 2
84 57 165 1
66 73 156 1
71 70 160 1
