"prima" "dopo"
"1" 59 82
"2" 98 84
"3" 91 61
"4" 69 85
"5" 91 76
"6" 102 83
"7" 100 85
"8" 83 83
"9" 73 108
"10" 73 101
"11" 77 84
"12" 83 75
"13" 81 77
"14" 83 68
"15" 96 71
"16" 65 95
"17" 94 90
"18" 76 65
"19" 96 101
"20" 84 75
"21" 94 73
"22" 102 74
"23" 72 71
"24" 77 95
"25" 91 103
"26" 71 69
"27" 84 107
"28" 99 64
"29" 87 97
"30" 82 114
"31" 76 71
"32" 60 76
"33" 91 83
"34" 95 75
"35" 97 74
"36" 69 100
"37" 71 64
"38" 103 88
"39" 107 113
"40" 102 101
"41" 82 70
"42" 92 75
"43" 82 94
"44" 97 94
"45" 90 81
"46" 82 89
"47" 87 81
"48" 81 68
"49" 107 69
"50" 97 50
